"COUNTY","CFIPS","YEAR","Population","Change","Births","Deaths","NetMigration","Datatype",
"Adams County","1","","0","7,750","7,168","2,925","3,507","",
"Alamosa County","3","","0","163","200","140","103","",
"Arapahoe County","5","","0","8,188","8,096","3,908","4,000","",
"Archuleta County","7","","0","490","117","89","462","",
"Baca County","9","","0","-37","38","62","-13","",
"Bent County","11","","0","-221","34","61","-194","",
"Boulder County","13","","0","3,419","2,841","1,803","2,381","",
"Broomfield County","14","","0","1,596","734","375","1,237","",
"Chaffee County","15","","0","494","134","180","540","",
"Cheyenne County","17","","0","23","26","20","17","",
"Clear Creek County","19","","0","51","74","59","36","",
"Conejos County","21","","0","-35","96","88","-43","",
"Costilla County","23","","0","135","30","46","151","",
"Crowley County","25","","0","-355","27","54","-328","",
"Custer County","27","","0","160","18","52","194","",
"Delta County","29","","0","498","281","355","572","",
"Denver County","31","","0","12,634","9,420","4,404","7,618","",
"Dolores County","33","","0","63","15","13","61","",
"Douglas County","35","","0","6,132","3,494","1,325","3,963","",
"Eagle County","37","","0","608","664","119","63","",
"Elbert County","39","","0","529","201","124","452","",
"El Paso County","41","","0","14,029","9,472","4,296","8,853","",
"Fremont County","43","","0","828","379","537","986","",
"Garfield County","45","","0","1,205","839","332","698","",
"Gilpin County","47","","0","102","42","30","90","",
"Grand County","49","","0","437","127","63","373","",
"Gunnison County","51","","0","297","158","77","216","",
"Hinsdale County","53","","0","8","2","5","11","",
"Huerfano County","55","","0","186","44","108","250","",
"Jackson County","57","","0","-2","12","12","-2","",
"Jefferson County","59","","0","7,092","5,904","4,292","5,480","",
"Kiowa County","61","","0","-49","20","20","-49","",
"Kit Carson County","63","","0","-580","94","79","-595","",
"Lake County","65","","0","93","64","44","73","",
"La Plata County","67","","0","840","571","337","606","",
"Larimer County","69","","0","5,833","3,464","2,165","4,534","",
"Las Animas County","71","","0","21","130","184","75","",
"Lincoln County","73","","0","5","52","58","11","",
"Logan County","75","","0","-75","223","255","-43","",
"Mesa County","77","","0","1,708","1,709","1,462","1,461","",
"Mineral County","79","","0","8","8","5","5","",
"Moffat County","81","","0","204","181","90","113","",
"Montezuma County","83","","0","777","297","257","737","",
"Montrose County","85","","0","626","423","429","632","",
"Morgan County","87","","0","-82","428","281","-229","",
"Otero County","89","","0","25","228","250","47","",
"Ouray County","91","","0","197","34","32","195","",
"Park County","93","","0","569","118","97","548","",
"Phillips County","95","","0","-22","68","45","-45","",
"Pitkin County","97","","0","-72","146","64","-154","",
"Prowers County","99","","0","-64","185","149","-100","",
"Pueblo County","101","","0","1,913","1,850","1,706","1,769","",
"Rio Blanco County","103","","0","-32","75","61","-46","",
"Rio Grande County","105","","0","11","137","126","0","",
"Routt County","107","","0","369","246","104","227","",
"Saguache County","109","","0","185","77","48","156","",
"San Juan County","111","","0","2","5","3","0","",
"San Miguel County","113","","0","157","68","27","116","",
"Sedgwick County","115","","0","32","29","35","38","",
"Summit County","117","","0","439","295","64","208","",
"Teller County","119","","0","723","191","171","703","",
"Washington County","121","","0","41","57","66","50","",
"Weld County","123","","0","9,826","4,254","1,734","7,306","",
"Yuma County","125","","0","30","145","100","-15","",